"","diff","lwr","upr","p adj"
"promo_yy1_exclu_taf1-yy1_exclu_taf1",49.639407206855,-8.12166119261094,107.400475606321,0.139527644733018
"taf1_exclu_yy1-yy1_exclu_taf1",25.9558424184601,-64.0189529934149,115.930637830335,0.963462670759912
"promo_taf1_exclu_yy1-yy1_exclu_taf1",43.6445151130391,-61.1284570993785,148.417487325457,0.842931235286325
"yy1_com_taf1-yy1_exclu_taf1",60.0148214210068,-1.88444124147397,121.914084083488,0.0635354693378973
"promo_yy1_com_taf1-yy1_exclu_taf1",60.1094447741605,-4.13585271902375,124.354742267345,0.0820599032289615
"taf1_exclu_yy1-promo_yy1_exclu_taf1",-23.6835647883949,-120.375557344727,73.0084277679371,0.982167571288292
"promo_taf1_exclu_yy1-promo_yy1_exclu_taf1",-5.99489209381585,-116.589888912519,104.600104724888,0.99998780411882
"yy1_com_taf1-promo_yy1_exclu_taf1",10.3754142141518,-60.9365506533498,81.6873790816533,0.998434544091728
"promo_yy1_com_taf1-promo_yy1_exclu_taf1",10.4700375673055,-62.8875514408723,83.8276265754834,0.998572784525752
"promo_taf1_exclu_yy1-taf1_exclu_yy1",17.688672694579,-112.658464244021,148.035809633179,0.998881232825919
"yy1_com_taf1-taf1_exclu_yy1",34.0589790025466,-65.1605710872656,133.278529092359,0.924798201468475
"promo_yy1_com_taf1-taf1_exclu_yy1",34.1536023557004,-66.5462419930062,134.853446704407,0.928346739070239
"yy1_com_taf1-promo_taf1_exclu_yy1",16.3703063079676,-96.4411781111288,129.181790727064,0.998454182977987
"promo_yy1_com_taf1-promo_taf1_exclu_yy1",16.4649296611214,-97.6506720271184,130.580531349361,0.99849623295869
"promo_yy1_com_taf1-yy1_com_taf1",0.0946233531537359,-76.5637979755153,76.7530446818228,1
